id,name,psc,latitude,longitude,location,country
1,Abertamy,36235,50.368855,12.818377,SRID=4326;POINT (50.368855 12.818377),CZ
2,Adamov,37371,49.000624,14.539603,SRID=4326;POINT (49.000624 14.539603),CZ
3,Adamov,67904,49.295708,16.663955,SRID=4326;POINT (49.295708 16.663955),CZ
4,Adamov,28601,49.857917,15.409018,SRID=4326;POINT (49.857917 15.409018),CZ
5,Adršpach,54957,50.624387,16.083501,SRID=4326;POINT (50.624387 16.083501),CZ
6,Albrechtice,73543,49.786552,18.524545,SRID=4326;POINT (49.786552 18.524545),CZ
7,Albrechtice,56301,49.927643,16.644801,SRID=4326;POINT (49.927643 16.644801),CZ
8,Albrechtice nad Orlicí,51722,50.139886,16.064472,SRID=4326;POINT (50.139886 16.064472),CZ
9,Albrechtice nad Vltavou,39816,49.253337,14.302929,SRID=4326;POINT (49.253337 14.302929),CZ
10,Albrechtice v Jizerských horách,46843,50.7624,15.275813,SRID=4326;POINT (50.762400 15.275813),CZ
11,Albrechtičky,74255,49.70179,18.095627,SRID=4326;POINT (49.701790 18.095627),CZ
12,Alojzov,79804,49.423541,17.041589,SRID=4326;POINT (49.423541 17.041589),CZ
13,Andělská Hora,36471,50.20449,12.962918,SRID=4326;POINT (50.204490 12.962918),CZ
14,Andělská Hora,79331,50.060911,17.389192,SRID=4326;POINT (50.060911 17.389192),CZ
15,Anenská Studánka,56301,49.849856,16.54033,SRID=4326;POINT (49.849856 16.540330),CZ
16,Archlebov,69633,49.043689,17.004911,SRID=4326;POINT (49.043689 17.004911),CZ
17,Arneštovice,39501,49.53161,15.117873,SRID=4326;POINT (49.531610 15.117873),CZ
18,Arnolec,58827,49.436298,15.823702,SRID=4326;POINT (49.436298 15.823702),CZ
19,Arnoltice,40714,50.837124,14.264055,SRID=4326;POINT (50.837124 14.264055),CZ
20,Aš,35201,50.223983,12.195113,SRID=4326;POINT (50.223983 12.195113),CZ
21,Babice,38411,49.024865,14.237677,SRID=4326;POINT (49.024865 14.237677),CZ
22,Babice,67544,49.135413,15.770586,SRID=4326;POINT (49.135413 15.770586),CZ
23,Babice,50351,50.192196,15.585617,SRID=4326;POINT (50.192196 15.585617),CZ
24,Babice,78501,49.737929,17.260966,SRID=4326;POINT (49.737929 17.260966),CZ
25,Babice,25101,50.008089,14.715907,SRID=4326;POINT (50.008089 14.715907),CZ
26,Babice,68703,49.123859,17.476827,SRID=4326;POINT (49.123859 17.476827),CZ
27,Babice nad Svitavou,66401,49.283402,16.696235,SRID=4326;POINT (49.283402 16.696235),CZ
28,Babice u Rosic,66484,49.173078,16.358273,SRID=4326;POINT (49.173078 16.358273),CZ
29,Babylon,34401,49.398761,12.862893,SRID=4326;POINT (49.398761 12.862893),CZ
30,Bácovice,39301,49.455771,15.158118,SRID=4326;POINT (49.455771 15.158118),CZ
31,Bačalky,50723,50.385047,15.15353,SRID=4326;POINT (50.385047 15.153530),CZ
32,Bačetín,51801,50.299877,16.233416,SRID=4326;POINT (50.299877 16.233416),CZ
33,Bačice,67555,49.081736,16.027802,SRID=4326;POINT (49.081736 16.027802),CZ
34,Bačkov,58291,49.735384,15.462118,SRID=4326;POINT (49.735384 15.462118),CZ
35,Bačkovice,67532,48.965699,15.589,SRID=4326;POINT (48.965699 15.589000),CZ
36,Bakov nad Jizerou,29401,50.482406,14.941596,SRID=4326;POINT (50.482406 14.941596),CZ
37,Baliny,59401,49.332666,15.952501,SRID=4326;POINT (49.332666 15.952501),CZ
38,Balkova Lhota,39131,49.452124,14.608319,SRID=4326;POINT (49.452124 14.608319),CZ
39,Banín,56802,49.665712,16.46203,SRID=4326;POINT (49.665712 16.462030),CZ
40,Bánov,68754,48.988113,17.717631,SRID=4326;POINT (48.988113 17.717631),CZ
41,Báňovice,38001,49.011855,15.49034,SRID=4326;POINT (49.011855 15.490340),CZ
42,Bantice,67161,48.883187,16.182493,SRID=4326;POINT (48.883187 16.182493),CZ
43,Barchov,50401,50.197698,15.56774,SRID=4326;POINT (50.197698 15.567740),CZ
44,Barchov,53002,49.999411,15.68091,SRID=4326;POINT (49.999411 15.680910),CZ
45,Barchovice,28163,49.944355,14.969206,SRID=4326;POINT (49.944355 14.969206),CZ
46,Bartošovice,74254,49.66894,18.054715,SRID=4326;POINT (49.668940 18.054715),CZ
47,Bartošovice v Orlických horách,51761,50.16408,16.547862,SRID=4326;POINT (50.164080 16.547862),CZ
48,Bartoušov,58001,49.601128,15.618547,SRID=4326;POINT (49.601128 15.618547),CZ
49,Bařice-Velké Těšany,76701,49.245527,17.426201,SRID=4326;POINT (49.245527 17.426201),CZ
50,Baška,73901,49.645943,18.372443,SRID=4326;POINT (49.645943 18.372443),CZ
51,Bašnice,50801,50.334576,15.605129,SRID=4326;POINT (50.334576 15.605129),CZ
52,Bašť,25065,50.205242,14.477405,SRID=4326;POINT (50.205242 14.477405),CZ
53,Batelov,58851,49.290179,15.410734,SRID=4326;POINT (49.290179 15.410734),CZ
54,Batňovice,54237,50.517692,16.03674,SRID=4326;POINT (50.517692 16.036740),CZ
55,Bavorov,38773,49.121951,14.079028,SRID=4326;POINT (49.121951 14.079028),CZ
56,Bavory,69201,48.834789,16.622349,SRID=4326;POINT (48.834789 16.622349),CZ
57,Bavoryně,26751,49.895907,13.961126,SRID=4326;POINT (49.895907 13.961126),CZ
58,Bdeněves,33032,49.76964,13.235291,SRID=4326;POINT (49.769640 13.235291),CZ
59,Bdín,27054,50.214245,13.858851,SRID=4326;POINT (50.214245 13.858851),CZ
60,Bečice,37501,49.215784,14.501318,SRID=4326;POINT (49.215784 14.501318),CZ
61,Bečice,39175,49.381437,14.539787,SRID=4326;POINT (49.381437 14.539787),CZ
62,Bečov,43526,50.449824,13.717955,SRID=4326;POINT (50.449824 13.717955),CZ
